INPUT:image,n_workers,acc
img_825.png,3.0,0.3333333333333333
img_827.png,5.0,0.8
img_829.png,5.0,0.8
img_83.png,4.0,0.25
img_831.png,3.0,1.0
img_833.png,4.0,1.0
img_835.png,5.0,0.4
img_837.png,4.0,0.5
img_839.png,3.0,1.0
img_841.png,4.0,1.0
img_843.png,3.0,0.6666666666666666
img_845.png,4.0,0.75
img_847.png,5.0,0.6
img_849.png,4.0,0.75
img_85.png,4.0,0.5
img_851.png,5.0,0.8
img_853.png,4.0,1.0
img_855.png,4.0,0.75
img_857.png,4.0,0.75
img_859.png,4.0,0.25
img_861.png,2.0,0.0
img_863.png,2.0,1.0
img_865.png,4.0,1.0
img_867.png,5.0,0.8
img_869.png,4.0,0.5
img_87.png,3.0,0.6666666666666666
img_871.png,3.0,1.0
img_873.png,4.0,0.5
img_875.png,5.0,0.6
img_877.png,5.0,0.4
img_879.png,4.0,0.75
img_881.png,2.0,1.0
img_883.png,2.0,0.5
img_885.png,5.0,1.0
img_887.png,4.0,1.0
img_889.png,4.0,0.5
img_89.png,3.0,1.0
img_891.png,2.0,0.5
img_893.png,4.0,0.5
img_895.png,2.0,0.5
img_897.png,5.0,0.6
img_899.png,1.0,0.0
img_9.png,4.0,1.0
img_901.png,3.0,0.3333333333333333
img_903.png,4.0,0.75
img_905.png,4.0,1.0
img_907.png,3.0,0.3333333333333333
img_909.png,4.0,0.75
img_91.png,3.0,0.6666666666666666
img_911.png,5.0,1.0
img_913.png,3.0,1.0
img_915.png,4.0,0.5
img_917.png,5.0,0.0
img_919.png,2.0,1.0
img_921.png,4.0,0.75
img_923.png,3.0,0.6666666666666666
img_925.png,4.0,1.0
img_927.png,5.0,0.6
img_929.png,2.0,0.5
img_93.png,4.0,0.5
img_931.png,3.0,0.6666666666666666
img_933.png,5.0,0.2
img_935.png,4.0,1.0
img_937.png,4.0,1.0
img_939.png,3.0,0.3333333333333333
img_941.png,2.0,1.0
img_943.png,4.0,1.0
img_945.png,3.0,0.3333333333333333
img_947.png,3.0,1.0
img_949.png,4.0,0.0
img_95.png,3.0,0.6666666666666666
img_951.png,4.0,0.75
img_953.png,4.0,0.5
img_955.png,3.0,0.6666666666666666
img_957.png,4.0,1.0
img_959.png,2.0,0.5
img_961.png,2.0,0.5
img_963.png,4.0,0.25
img_965.png,3.0,1.0
img_967.png,3.0,1.0
img_969.png,3.0,0.3333333333333333
img_97.png,5.0,1.0
img_971.png,4.0,0.25
img_973.png,5.0,0.8
img_975.png,4.0,0.75
img_977.png,3.0,0.3333333333333333
img_979.png,4.0,0.25
img_981.png,3.0,1.0
img_983.png,3.0,0.6666666666666666
img_985.png,5.0,0.2
img_987.png,2.0,0.5
img_989.png,4.0,1.0
img_99.png,1.0,1.0
img_991.png,4.0,0.75
img_993.png,5.0,1.0
img_995.png,3.0,0.6666666666666666
img_997.png,4.0,0.0
img_999.png,4.0,0.5
